*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=7X7X7_richtig
*Date=10:33:07
*CreatedBy=Fritzing 0.9.10b.2022-07-01.CD-2134-0-40d23c29
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
107;;;156.604;-96.4043;0;Bottom;Hole2
108;;;19.4433;-53.2244;0;Bottom;Via26
109;;;110.883;-12.5844;0;Bottom;Via58
110;;THT;16.9027;-12.4987;0;Bottom;XTAL1
111;220;THT;100.723;-88.7843;90;Bottom;R24
112;;;42.3033;-60.8444;0;Bottom;Via16
113;;DIP (Dual Inline) [THT];140.093;-72.2743;-90;Bottom;74HC574
114;100nF;100 mil [THT, multilayer];39.7634;-26.5543;90;Bottom;C11
115;;;85.4834;-20.2043;0;Bottom;Via74
116;1k;THT;44.8434;-17.6643;180;Bottom;R54
117;220;THT;138.823;-40.5243;90;Bottom;R42
118;2.2nF;100 mil [THT, multilayer];20.7086;-4.96432;0;Bottom;C2
119;100nF;100 mil [THT, multilayer];65.1634;-72.2743;90;Bottom;C5
120;100nF;100 mil [THT, multilayer];34.6834;-72.2743;90;Bottom;C4
121;;;80.4033;-20.2044;0;Bottom;Via76
122;;;24.5233;-17.6644;0;Bottom;Via12
123;;;27.0633;-43.0644;0;Bottom;Via11
124;;;19.4433;-32.9044;0;Bottom;Via6
125;10k;THT;4.20344;-37.9843;-90;Bottom;R50
126;220;THT;82.9434;-88.7843;90;Bottom;R23
127;;;24.5233;-48.1444;0;Bottom;Via28
128;;;108.343;-58.3044;0;Bottom;Via45
129;220;THT;72.7834;-88.7843;90;Bottom;R18
130;;;72.7833;-40.5244;0;Bottom;Via83
131;;TO92 [THT];75.1329;-17.5754;0;Bottom;Q7
132;;;44.8433;-58.3044;0;Bottom;Via17
133;1k;THT;34.6834;-4.96432;180;Bottom;R51
134;;;113.423;-15.1244;0;Bottom;Via57
135;;;39.7633;-63.3844;0;Bottom;Via15
136;;;136.104;-13.9249;0;Bottom;TXT1
137;;THT;77.8634;-96.4043;-90;Bottom;J3
138;220;THT;42.3034;-88.7843;90;Bottom;R10
139;;;57.5433;-50.6844;0;Bottom;Via41
140;220;THT;14.3634;-88.7843;90;Bottom;R3
141;;;93.1034;-17.6643;0;Bottom;Via71
142;220;THT;103.263;-88.7843;90;Bottom;R21
143;;;133.743;-4.96442;0;Bottom;Via64
144;;THT;108.343;-48.1443;-90;Bottom;J7
145;;THT;44.8434;-2.42432;0;Bottom;J8
146;;;141.363;-12.5844;0;Bottom;Via67
147;220;THT;55.0034;-88.7843;90;Bottom;R17
148;220;THT;105.803;-40.5243;90;Bottom;R45
149;220;THT;133.743;-40.5243;90;Bottom;R37
150;;;21.9833;-43.0644;0;Bottom;Via9
151;;;16.9033;-55.7644;0;Bottom;Via25
152;;TO92 [THT];70.0529;-2.33542;0;Bottom;Q3
153;;;57.5433;-58.3044;0;Bottom;Via38
154;;THT;75.3234;-2.42432;0;Bottom;J11
155;1k;THT;44.8434;-20.2043;180;Bottom;R53
156;;;75.3233;-40.5244;0;Bottom;Via82
157;;;146.443;-17.6644;0;Bottom;Via69
158;;THT;55.0034;-2.42432;0;Bottom;J9
159;;;9.28343;-40.5244;0;Bottom;Via1
160;;;131.203;-2.42442;0;Bottom;Via63
161;100nF;100 mil [THT, multilayer];4.20344;-72.2743;90;Bottom;C3
162;220;THT;131.203;-88.7843;90;Bottom;R27
163;;;85.4833;-48.1444;0;Bottom;Via77
164;;;72.7833;-60.8444;0;Bottom;Via30
165;;;156.604;-4.96423;0;Bottom;Hole3
166;220;THT;52.4634;-88.7843;90;Bottom;R8
167;;;16.9033;-43.0644;0;Bottom;Via5
168;220;THT;131.203;-40.5243;90;Bottom;R36
169;220;THT;115.963;-40.5243;90;Bottom;R49
170;;DIP (Dual Inline) [THT];140.086;-23.9649;-90;Bottom;74HC574
171;;;108.343;-10.0444;0;Bottom;Via59
172;1k;THT;34.6834;-7.50432;180;Bottom;R52
173;220;THT;85.4834;-88.7843;90;Bottom;R22
174;;DIP (Dual Inline) [THT];48.6534;-72.2743;-90;Bottom;74HC574
175;;THT;16.9034;-96.4043;-90;Bottom;J1
176;;THT;4.86644;-8.01243;-90;Bottom;J15
177;;;77.8633;-40.5244;0;Bottom;Via81
178;;;113.423;-53.2244;0;Bottom;Via47
179;;;57.5433;-60.8444;0;Bottom;Via37
180;1k;THT;44.8434;-15.1243;180;Bottom;R55
181;;DIP (Dual Inline) [THT];79.1334;-72.2743;-90;Bottom;74HC574
182;;;82.9433;-40.5244;0;Bottom;Via79
183;;;19.4433;-43.0644;0;Bottom;Via8
